Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;4211;11.32;0.0008
ldhp2;1;6589;523.13;<.0001
ldhp*st;1;6575;283.98;<.0001
ldhp*rdhp;1;6037;17.96;<.0001
ldhp2*rdhp;1;5875;49.81;<.0001
ldhp*vp;11;1883;13.60;<.0001
ldhp*Tmoy;1;1567;5.81;0.0160
ldhp*sdom;7;1669;5.17;<.0001
ldhp*alt;1;1653;23.75;<.0001
ldhp*milieu;7;1588;3.14;0.0027
