"sp","parmEst"
1,5.06096330733454
1,-0.00134075880148486
1,5.7137913060417e-07
1,-0.00263832665619814
1,3.93606866379248e-07
1,1.93656877073981e-06
1,0.0114355032523881
1,-5.21874887946666e-06
1,-5.46541961215543e-06
1,0.000654691929299293
1,-0.00330058668646726
1,6.84325014964337e-07
1,3.39995304730735e-07
1,0.00010181628889504
1,0.000740555349927384
1,0.152145008182678
1,-7.890988847616e-05
1,-4.20695070543009e-05
1,-0.00209759117104296
1,-0.00207508150091914
1,0.0968922310051205
1,0.00519529111209355
1,-1.91348169698217e-06
1,-5.20030428992543e-06
1,2.3167046860636e-05
1,-1.28362858912263e-05
1,0.000211371309679191
1,0.000127786185861049
2,2.52219654988248
2,-0.0378403890960679
2,0.0169648230603064
2,-0.0029676604124228
2,1.27964480790859e-06
2,3.81033483327382e-06
2,9.43449519579887e-07
2,-8.2538874883717e-10
2,-1.22400978013873e-09
2,3.97379324558149e-13
2,-0.000184764386388063
2,-2.70438949709154e-06
2,1.32949815928245e-07
2,-3.93561126169025e-11
2,8.50246036453713e-08
2,-0.000456858005380772
2,7.52930469794717e-06
2,2.95911972353193e-07
2,-5.63126447864801e-11
2,2.50555158223611e-08
2,9.4411256055735e-06
2,-0.00755468595243181
2,0.000638759790112638
2,4.85285019044016e-06
2,-2.12502569719841e-09
2,-5.43023740947612e-07
2,4.77336572803997e-05
2,0.00595057733307578
2,-0.00149004834218297
2,4.43953707114502e-05
2,-2.41482774990998e-06
2,7.43544620341116e-10
2,6.92521039962213e-07
2,-9.70970006768999e-06
2,0.00255440278886624
2,0.0170937649818467
2,0.000702752653648309
2,0.00047072593999094
2,2.0075483711757e-07
2,-1.23970729529148e-09
2,-1.05979247333747e-06
2,-0.000103392740800439
2,0.00230354991647494
2,0.00277157786212873
2,0.0309125674943263
2,0.000588127553512836
2,-8.22728929231335e-05
2,-1.73077942301309e-06
2,4.75060608246119e-10
2,2.62694251253612e-07
2,-3.43960304974565e-06
2,6.33227756624613e-05
2,-1.72351992305411e-06
2,6.50741270218578e-06
2,0.000255988516770578
2,-2.0166784803285e-06
2,2.42055497260122e-06
2,3.70187417144365e-08
2,-1.10997500233235e-11
2,-1.12682104221822e-08
2,5.81686009892146e-08
2,-1.42114295596997e-06
2,-2.12597740083735e-07
2,1.57658750764728e-06
2,-8.24587074980842e-06
2,2.98694233909623e-07
2,-0.000617771185556933
2,-8.26984191081464e-06
2,4.74706872326884e-07
2,-1.52078366168483e-10
2,9.66510563638669e-08
2,-2.55856516401512e-07
2,-2.46957208406432e-05
2,-3.16251047064375e-05
2,-2.73182454623698e-05
2,6.80149952987817e-06
2,5.2355662201496e-08
2,2.54886103209267e-05
2,-0.011842632847854
2,-3.20226899704195e-05
2,1.25927949423119e-05
2,-3.14042782891563e-09
2,2.45046672504403e-06
2,2.13856921715188e-06
2,3.47052153912799e-05
2,0.000564268299335781
2,0.00120280131069031
2,-0.000432596579986716
2,1.13605986419198e-05
2,-2.32330136892846e-05
2,0.0124506649417661
2,0.280960833140231
2,0.000508582266845185
2,-0.000387863001787032
2,1.12844579626817e-07
2,-3.31003187483088e-05
2,-0.000113439307996896
2,0.000976504911665358
2,0.00202143275331449
2,-0.000912029200083391
2,-0.00116853881693336
2,3.43678422961067e-05
2,-0.000201035968806385
2,-0.0361478739660523
2,0.560552601129238
2,-0.192473812848276
2,0.00365805263242463
2,0.000286404447810135
2,-8.17703122164162e-08
2,6.84183388710266e-06
2,8.89041451513352e-05
2,-0.000205916717529564
2,-0.0035265129705272
2,0.000428203623875546
2,0.000963005232813083
2,-2.8095379212847e-05
2,0.000187833627048113
2,0.026640721518963
2,-0.524707010957241
2,0.538606362244809
2,-0.00204234853419453
2,-0.000202931904655369
2,-2.88996268120631e-06
2,1.54750777191874e-09
2,-2.60505570985261e-08
2,-4.71784435650142e-05
2,-0.000277029882147824
2,-0.00133380383108548
2,0.00102266881578501
2,0.000334577231700769
2,-6.65026236088261e-06
2,4.84819609652379e-05
2,3.26089299134633e-05
2,-0.00400930892700894
2,0.00661576116900654
2,0.0807931678095315
3,1.06244137360893
3,-0.0100812785574753
3,0.00530641031129065
3,-0.000688339852182944
3,-3.36009801466992e-06
3,8.19948960832944e-07
3,1.93608062458764e-07
3,7.72453436993394e-10
3,-2.83025278421811e-10
3,1.0375197044198e-13
3,-2.31665681807049e-05
3,1.99016739710059e-06
3,5.24556404435722e-09
3,-2.71994218137127e-12
3,3.25122546054039e-08
3,-0.00298457363238703
3,-2.62845595626026e-05
3,1.04955928768795e-06
3,-1.13971789642616e-10
3,-2.4335971322697e-07
3,1.67893736301921e-05
3,-0.00426755322013696
3,-0.000110425338204461
3,2.44087513578673e-06
3,-4.11446763748332e-10
3,-9.25526305617152e-07
3,3.56065861093187e-05
3,0.000114586447997273
3,-5.3737438111068e-05
3,-4.43754102941318e-06
3,1.39893171130932e-07
3,-4.85015257987922e-11
3,-2.18594273012526e-08
3,-3.85330735215973e-07
3,-6.20346057492648e-07
3,3.58755294000501e-06
3,-0.0077232063254919
3,0.000178926819294284
3,5.21123449317804e-06
3,-1.9840322816774e-09
3,3.2180290566458e-07
3,2.57888745260529e-05
3,4.1846613101628e-05
3,-6.55525757371868e-05
3,0.0593241820369995
3,-0.00362563154745022
3,4.70907446357503e-06
3,2.65519760707675e-06
3,-9.94822504206717e-10
3,-5.3507052506961e-07
3,1.10210921426324e-05
3,2.89591980891158e-05
3,3.58518199816483e-05
3,2.57672668724512e-05
3,0.00516488125137276
3,0.00134237760571078
3,-0.000186102447701242
3,-2.65191894374111e-06
3,6.57303135977385e-10
3,-5.95420884347987e-07
3,1.3296171550324e-06
3,1.61630740751784e-05
3,4.27964399965589e-05
3,-4.41525133090278e-05
3,0.0011768373539822
3,0.0108424110169397
3,0.000560974654665166
3,1.38661077117459e-05
3,-6.58760368921764e-07
3,9.87646896821304e-11
3,-1.73631630793972e-07
3,2.09637336556603e-07
3,1.18087598726104e-07
3,-1.16988539607221e-06
3,0.000114134011542277
3,4.69725135538007e-05
3,0.000149588111923318
3,0.00010845021509055
3,-1.67113448626063e-05
3,-5.02940907802622e-07
3,2.20917693991802e-08
3,-4.95517931765556e-12
3,3.40307750173006e-09
3,-2.20624038441921e-08
3,-9.63290345306721e-08
3,2.92872484236924e-08
3,-3.24195822628181e-06
3,-7.41300468721426e-07
3,-3.81789068780734e-06
3,-3.93651847325624e-06
3,1.73377733211281e-07
3,-0.000254163951400486
3,8.03902865980126e-06
3,1.99932428786014e-07
3,-7.41499230031737e-11
3,-1.10792464715334e-09
3,-4.71125844893674e-07
3,-3.11774154307087e-06
3,-1.66079232908099e-08
3,1.66272441633116e-05
3,5.18074383512061e-06
3,4.31950426089619e-06
3,4.29523407312329e-06
3,-2.86253974963664e-08
3,7.67752473519597e-06
3,-0.000220059609071528
3,0.000133653933873154
3,-1.02891508435006e-06
3,2.69453687049106e-10
3,6.84841960185404e-08
3,-1.06756453944035e-06
3,-3.23338596583509e-06
3,-6.18603477074966e-06
3,-1.75414484056178e-05
3,3.16108336369183e-05
3,0.000193948632821196
3,-0.000136294471174867
3,5.76610586369169e-06
3,-2.07542486526786e-05
3,0.00445930832768782
3,-5.49140579750106e-05
3,-1.19009577939652e-05
3,9.86154115039202e-08
3,2.78608313910897e-11
3,1.18155010589925e-07
3,3.14069837262103e-07
3,5.00534216331097e-06
3,3.54956695536819e-08
3,2.28334298109958e-05
3,3.75087120351823e-06
3,-1.50769605848707e-05
3,-2.11730710121438e-05
3,2.74690408369965e-07
3,-3.00252251601773e-07
3,-7.41773574311976e-05
3,4.24328428703337e-05
3,0.0128898396148458
3,6.54169517660867e-05
3,-2.12485554419871e-05
3,7.66234878615408e-09
3,-8.03796563191727e-07
3,-3.28748901597104e-05
3,-0.000123254364558004
3,-4.54687562063008e-06
3,-0.000638315927696202
3,-0.000374263965835809
3,0.000265326572056922
3,-2.63838893188965e-05
3,1.51898530842521e-06
3,-6.25628000102965e-06
3,-0.00303273393788011
3,-9.49675291520763e-05
3,0.0118293531312853
